name,main_category,sub_category,image,link,ratings,no_of_ratings,price
Lasmo Oversized Women T-Shirts.,clothing,T-Shirts,https://m.media-amazon.com/images/I/418aYi5Q1IL._AC_UL320_.jpg,https://www.amazon.in/Lasmo-Oversized-Unisex-Printed-T-Shirts/dp/B0BVJ5FJV1/ref=sr_1_3295?qid=1679152861&s=apparel&sr=1-3295,5,5,349
Armani Exchange Hampton Women's Watch,clothing,Watches,https://m.media-amazon.com/images/I/6148Z7pxerL._AC_UL320_.jpg,https://www.amazon.in/Armani-Exchange-Hampton-Analog-Watch-AX5262/dp/B09NS1HJM9/ref=sr_1_247?qid=1679155590&s=watches&sr=1-247,5,4,16096
Yoga Mat PESOMA Premium Thick Mat,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/51E01r4E-XL._AC_UL320_.jpg,https://www.amazon.in/Yoga-Mat-Performance-Cushioning-Black-Grey/dp/B0BWS7FLXS/ref=sr_1_58?qid=1679217837&s=sports&sr=1-58,4.9,88,799
Sony Bravia (65 inches) 4K Ultra HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81wxS8abrgL._AC_UL320_.jpg,https://www.amazon.in/Sony-Bravia-inches-Google-KD-65X74K/dp/B09WN3SRC7/ref=sr_1_32?qid=1679128060&s=electronics&sr=1-32,4.7,8000,69990
Sony Bravia (43 inches) 4K Ultra HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81wxS8abrgL._AC_UL320_.jpg,https://www.amazon.in/Sony-Bravia-inches-Google-KD-43X74K/dp/B09WN2CVMY/ref=sr_1_34?qid=1679128060&s=electronics&sr=1-34,4.7,8000,41999
EQUAL 3 Inch Universally Compatible Office Chair ,Furniture,Chairs,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71YYja2920L._AC_UL320_.jpg,https://www.amazon.in/EQUAL-Office-Chair-Caster-Wheels/dp/B084RN5ZK8/ref=sr_1_342?qid=1679212904&s=kitchen&sr=1-342,4.6,829,1130
THALASI Anime Printed T-Shirts,clothing,T-Shirts,https://m.media-amazon.com/images/I/51wJCi6D6oL._AC_UL320_.jpg,https://www.amazon.in/THALASI-Anime-Printed-Oversized-T-Shirts/dp/B0BVWPYK5B/ref=sr_1_61?qid=1679139862&s=apparel&sr=1-61,4.6,9,399
Titan Raga Facets Women's Watch,clothing,Watches,https://m.media-amazon.com/images/I/71ewugZRsJL._AC_UL320_.jpg,https://www.amazon.in/Titan-Facets-Analog-Womens-Watch-95118WM02/dp/B07YLVL85Q/ref=sr_1_211?qid=1679155590&s=watches&sr=1-211,4.6,50,17495
Michael Kors Sofie Women's Watch,clothing,Watches,https://m.media-amazon.com/images/I/61m0QwX6DBL._AC_UL320_.jpg,https://www.amazon.in/Michael-Kors-Analog-Womens-Watch-MK4336/dp/B07MJHY39D/ref=sr_1_231?qid=1679155590&s=watches&sr=1-231,4.6,225,14697
Voltas 2 Ton Inverter Split AC,electronics,Air Conditioners,https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFTT3YL/ref=sr_1_34_mod_primary_new?qid=1679134239&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-34,4.6,3,44990
Zemic Portable Shoe Rack ,Furniture,Racks,https://m.media-amazon.com/images/I/61tYxdoTe1L._AC_UL320_.jpg,https://www.amazon.in/Zemic-Adjustable-Detachable-Expandable-Black10Shelf5Door/dp/B0BPP3K9YC/ref=sr_1_441?qid=1679212906&s=kitchen&sr=1-441,4.5,1746,2672
Great Choice Men's Lycra Shorts ,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/31LtS8D5eBL._AC_UL320_.jpg,https://www.amazon.in/Great-Choice-Lycra-Running-Shorts/dp/B0BQFB69XK/ref=sr_1_223?qid=1679217841&s=sports&sr=1-223,4.5,2,269
